shardin;20060825 08:13:07;/accounts/login.php;user logged in (internal):141.213.120.57:https://sakaiproject.org/accounts/login.php?ref=/conference/registration/index.php&msg=You+must+login+to+register+or+submit+a+proposal+for+the+Sakai+Atlanta+conference.+If+you+do+not+have+an+account%2C+please+create+one.
schrecv;20060825 12:28:24;/accounts/login.php;user logged in (internal):131.252.77.41:https://sakaiproject.org/accounts/login.php?ref=/conference/proposals/index.php&msg=You+must+login+to+register+or+submit+a+proposal+for+the+Sakai+Atlanta+conference.+If+you+do+not+have+an+account%2C+please+create+one.
ajax;20060825 12:28:40;/conference/proposals/index.php;validate:required:presentation
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:Let's Talk Sakai Pedagogy
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:Is the technical jargon making your head spin?  What question sounds more interesting to you:  1) What database configuration should I use for Sakai 2.2.1?  Or, 2) Why should I use Melete to organize content?  If you answered #2, please attend this interactive workshop for Instructional Designers.  
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:For this presentation, I’m proposing the Discussion/Roundtable format.  I will start with a brief demonstration and the rest of the time will be for Instructional Designers to share best practices.

I attended the conference in Austin and Vancouver.  As an Instructional Designer, I often thought the conference lacked practical information about using Sakai as a teaching and learning instrument.  This presentation is a direct result of wanting more practical examples of how to work with instructors to establish courses in Sakai, especially when all the tools are not necessarily working correctly.  For example, should an instructor use Melete, or simply put their materials in the class Resources area?  How can I organize my tool menu so the Message Center is at the top of the list?  Is there any research that correlates learning with the use of a graphic interface such as the one used by R-Smart?  

ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:Dr. Vincent Schreck
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:An Instructional Designer since 2000, Dr. Vincent Schreck currently works for Portland State University in the Center for Academic Excellence where he has created courses in Sakai since fall term 2005.  Vince has also conducted extensive research into online course retention constructing the Online Course Retention Model in his dissertation.
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:discussion
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:class
ajax;20060825 13:37:14;/conference/proposals/edit_proposal.php;validate:required:90
ajax;20060825 13:37:37;/conference/proposals/index.php;validate:required:presentation
ajax;20060825 13:38:05;/conference/proposals/index.php;validate:required:presentation
johniglesia;20060825 22:59:05;/accounts/login.php;user logged in (internal):200.61.40.3:https://sakaiproject.org/accounts/login.php
